PROCEDIMENTO,Código SIGTAP,SIGTAP- Procedimento
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS OU RENAIS,0406040125,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS OU RENAIS,0406040206,EMBOLIZAÇÃO DE MALFORMAÇÃO VASCULAR ARTÉRIO-VENOSA (INCLUI ESTUDO ANGIOGRÁFICO)
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS OU RENAIS,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS OU RENAIS,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0303060026,TRATAMENTO DE ARRITMIAS
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0401020100,EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0406020345,PONTE FEMORO-FEMURAL CRUZADA
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0406040052,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES (SEM STENT),0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0406020442,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA DISTAL
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0406040052,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0406040060,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0406040109,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0406040230,FIBRINOLISE INTRAVASCULAR POR CATETER (INCLUI FIBRINOLÍTICO)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT NÃO RECOBERTO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT RECOBERTO,0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT RECOBERTO,0406040052,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DAS EXTREMIDADES COM STENT RECOBERTO,0406040133,ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (COM STENT RECOBERTO)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS,0301060088,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS,0403070015,ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS,0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS,0406040087,ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (SEM STENT)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS,0406040095,ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO OU TRONCOS SUPRA-AÓRTICOS (COM STENT NÃO RECOBERTO)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS COM STENT NÃO RECOBERTO,0406040087,ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (SEM STENT)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS COM STENT NÃO RECOBERTO,0406040095,ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO OU TRONCOS SUPRA-AÓRTICOS (COM STENT NÃO RECOBERTO)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS COM STENT NÃO RECOBERTO,0406040133,ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (COM STENT RECOBERTO)
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS COM STENT NÃO RECOBERTO,0406040338,TRATAMENTO ENDOVASCULAR DO PSEUDOANEURISMA
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOÇO OU TRONCOS SUPRAAORTICOS COM STENT NÃO RECOBERTO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANGIOPLASTIA TRANS-LUMINAL,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
ANGIOPLASTIA TRANS-LUMINAL,0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
ANGIOPLASTIA TRANS-LUMINAL,0406040117,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO
ANGIOPLASTIA TRANS-LUMINAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ANOPLASTIA,0401020100,EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
ANOPLASTIA,0407020322,PLÁSTICA ANAL EXTERNA / ESFINCTEROPLASTIA ANAL
ANOPLASTIA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
ANOPLASTIA,0415020050,PROCEDIMENTOS SEQUENCIAIS EM ONCOLOGIA
ANTRECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
APENDICECTOMIA,0407020039,APENDICECTOMIA
APENDICECTOMIA,0407020047,APENDICECTOMIA VIDEOLAPAROSCÓPICA
APENDICECTOMIA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
APENDICECTOMIA,0416040209,LAPAROTOMIA EXPLORADORA COM RESSECÇÃO COMPLETA OU INCOMPLETA DO TUMOR EM ONCOLOGIA
APENDICECTOMIA VIDEOLAPAROSCOPICA,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
APENDICECTOMIA VIDEOLAPAROSCOPICA,0407020039,APENDICECTOMIA
APENDICECTOMIA VIDEOLAPAROSCOPICA,0407020047,APENDICECTOMIA VIDEOLAPAROSCÓPICA
APENDICECTOMIA VIDEOLAPAROSCOPICA,0415010012,TRATAMENTO C/ CIRURGIAS MULTIPLAS
APENDICECTOMIA VIDEOLAPAROSCOPICA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ARTERIOGRAFIA CEREBRAL,0211050091,EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE
ARTERIOGRAFIA CEREBRAL,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
ARTERIOGRAFIA CEREBRAL,0303040076,TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL
ARTERIOGRAFIA CEREBRAL,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA CEREBRAL,0303060158,TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR
ARTERIOGRAFIA CEREBRAL,0303110040,TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO
ARTERIOGRAFIA CEREBRAL,0403010098,DERIVAÇÃO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
ARTERIOGRAFIA CEREBRAL,0403070104,EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL COMPLEXA DO SISTEMA NERVOSO CENTRAL
ARTERIOGRAFIA CEREBRAL,0406010650,IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA TRANSVENOSO
ARTERIOGRAFIA CEREBRAL,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ARTERIOGRAFIA CEREBRAL,0415020077,PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA
ARTERIOGRAFIA DE CARÓTIDA DIREITA,0303040076,TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL
ARTERIOGRAFIA DE CARÓTIDA DIREITA,0303110040,TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0303060204,TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0303060212,TRATAMENTO DE INSUFICIENCIA CARDIACA
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0303060301,TRATAMENTO DE VARIZES DOS MEMBROS INFERIORES C/ ULCERA
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406020388,PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406020442,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA DISTAL
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406020450,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA PROXIMAL
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406020515,TRATAMENTO CIRÚRGICO DE LESÕES VASCULARES TRAUMÁTICAS DE MEMBRO INFERIOR UNILATERAL
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406030030,ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406030162,"IMPLANTE PERCUTÂNEO DE VÁLVULA AÓRTICA (TAVI), POR VIA TRANSFEMORAL"
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406040052,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406040060,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO)
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406040079,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT RECOBERTO)
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406040230,FIBRINOLISE INTRAVASCULAR POR CATETER (INCLUI FIBRINOLÍTICO)
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0406040273,OCLUSÃO PERCUTÂNEA ENDOVASCULAR DE ARTÉRIA / VEIA
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0409010090,CISTOSTOMIA
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
ARTERIOGRAFIA DE MEMBRO INFERIOR DIREITO,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0303030038,TRATAMENTO DE DIABETES MELLITUS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0303060204,TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0303060212,TRATAMENTO DE INSUFICIENCIA CARDIACA
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0303060247,TRATAMENTO DE OUTRAS VASCULOPATIAS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0303060298,TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0402010027,PARATIREOIDECTOMIA
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406020167,FASCIOTOMIA P/ DESCOMPRESSÃO
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406020353,PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406020388,PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406020434,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA DE OUTRAS ARTERIAS DISTAIS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406020442,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA DISTAL
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406020450,REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA PROXIMAL
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406040052,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406040079,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT RECOBERTO)
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406040230,FIBRINOLISE INTRAVASCULAR POR CATETER (INCLUI FIBRINOLÍTICO)
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0406040273,OCLUSÃO PERCUTÂNEA ENDOVASCULAR DE ARTÉRIA / VEIA
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0408050012,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0408050080,FASCIOTOMIA DE MEMBROS INFERIORES
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0408060042,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0415040035,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
ARTERIOGRAFIA DE MEMBRO INFERIOR ESQUERDO,0506020096,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE FIGADO- PÓS TRANSPLANTE CRÍTICO
ARTERIOGRAFIA DE MEMBRO SUPERIOR DIREITO,0303110040,TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO
ARTERIOGRAFIA DE MEMBRO SUPERIOR DIREITO,0406040060,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO)
ARTERIOGRAFIA DE MEMBRO SUPERIOR DIREITO,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ARTERIOGRAFIA DE MEMBRO SUPERIOR DIREITO,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
ARTERIOGRAFIA DE MEMBRO SUPERIOR ESQUERDO,0303060204,TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA
ARTERIOGRAFIA DE MEMBRO SUPERIOR ESQUERDO,0406040273,OCLUSÃO PERCUTÂNEA ENDOVASCULAR DE ARTÉRIA / VEIA
ARTERIOGRAFIA DE PULMÃO ESQUERDO,0303140062,TRATAMENTO DE CARDIOPATIA PULMONAR NAO ESPECIFICADA (COR PULMONALE)
ARTERIOGRAFIA DE PULMÃO ESQUERDO,0406030057,ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS
ARTERIOGRAFIA MEDULAR,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE DOENÇA ATEROSCLEROTICA,0406040028,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)"
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE DOENÇA ATEROSCLEROTICA,0406040117,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE DOENÇA ATEROSCLEROTICA,0406040150,CORREÇÃO ENDOVASCULAR DE ANEURISMA / DISSECÇÃO DA AORTA ABDOMINAL COM ENDOPRÓTESE RETA / CÔNICA
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE DOENÇA ATEROSCLEROTICA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE HEMORRAGIA CEREBRAL,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE HEMORRAGIA CEREBRAL,0403010098,DERIVAÇÃO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE HEMORRAGIA CEREBRAL,0403030064,HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE HEMORRAGIA CEREBRAL,0403070120,EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA INTRAPARENQUIMATOSA DO SISTEMA NERVOSO CENTRAL
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE HEMORRAGIA CEREBRAL,0415020077,PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE ISQUEMIA CEREBRAL,0303040122,TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE ISQUEMIA CEREBRAL,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA PARA INVESTIGAÇÃO DE ISQUEMIA CEREBRAL,0403070058,"EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO LARGO"
ARTERIOGRAFIA SELETIVA,0301160023,REABILITAÇÃO EM FALÊNCIA INTESTINAL EM NÍVEL HOSPITALAR
ARTERIOGRAFIA SELETIVA,0303010037,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS
ARTERIOGRAFIA SELETIVA,0303030062,TRATAMENTO DE TRANSTORNOS DE OUTRAS GLÂNDULAS ENDÓCRINAS
ARTERIOGRAFIA SELETIVA,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA SELETIVA,0303070064,TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO
ARTERIOGRAFIA SELETIVA,0303070072,TRATAMENTO DE DOENCAS DO FIGADO
ARTERIOGRAFIA SELETIVA,0303070129,TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS
ARTERIOGRAFIA SELETIVA,0303150050,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO
ARTERIOGRAFIA SELETIVA,0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO
ARTERIOGRAFIA SELETIVA,0305010174,TRATAMENTO DE INTERCORRÊNCIA EM PACIENTE RENAL CRÔNICO SOB TRATAMENTO DIALÍTICO ( POR DIA)
ARTERIOGRAFIA SELETIVA,0305020056,TRATAMENTO DA DOENÇA RENAL CRÔNICA - DRC
ARTERIOGRAFIA SELETIVA,0406010803,
ARTERIOGRAFIA SELETIVA,0406030103,RETIRADA DE CORPO ESTRANHO DE SISTEMA CARDIOVASCULAR POR TÉCNICAS HEMODINÂMICAS
ARTERIOGRAFIA SELETIVA,0406040010,ALCOOLIZAÇÃO PERCUTÂNEA DE HEMANGIOMA E MALFORMAÇÃO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO)
ARTERIOGRAFIA SELETIVA,0406040044,"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)"
ARTERIOGRAFIA SELETIVA,0406040109,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO
ARTERIOGRAFIA SELETIVA,0406040125,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS
ARTERIOGRAFIA SELETIVA,0406040303,TRATAMENTO DE HEMATURIA OU SANGRAMENTO GENITAL POR EMBOLIZAÇÃO (INCLUI ESTUDO ANGIOGRÁFICO E/OU ENDOSCÓPICO)
ARTERIOGRAFIA SELETIVA,0506020045,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS
ARTERIOGRAFIA SELETIVA,0506020053,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE RIM - PÓS TRANSPLANTE CRÍTICO
ARTERIOGRAFIA SELETIVA DE CAROTIDA,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA SELETIVA DE CAROTIDA,0415020034,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS
ARTERIOGRAFIA VERTEBRAL,0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
ARTERIOGRAFIA VISCERAL,0303030062,TRATAMENTO DE TRANSTORNOS DE OUTRAS GLÂNDULAS ENDÓCRINAS
ARTERIOGRAFIA VISCERAL,0303060018,TRATAMENTO DE ANEURISMA DA AORTA
ARTERIOGRAFIA VISCERAL,0303070072,TRATAMENTO DE DOENCAS DO FIGADO
ARTERIOGRAFIA VISCERAL,0303070102,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO
ARTERIOGRAFIA VISCERAL,0303070110,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO
ARTERIOGRAFIA VISCERAL,0406040117,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO
ARTERIOGRAFIA VISCERAL,0406040125,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS
ARTERIOGRAFIA VISCERAL,0406040338,TRATAMENTO ENDOVASCULAR DO PSEUDOANEURISMA
